,sepal_length,sepal_width,petal_length,petal_width,species
0,5.084573724887242,3.4479074472079665,1.4085932832680714,0.20172335450268855,Iris-setosa
1,4.3000008920387565,3.0,1.1076728176036565,0.10000013660371398,Iris-setosa
2,5.627321379623308,3.748717494587728,1.6715906364826068,0.3921291054535899,Iris-setosa
3,5.504655056187547,4.199999036787799,1.3986036823487744,0.19874860220998183,Iris-setosa
4,5.699325464448522,2.8590926666113075,4.160853030502911,1.2601561379972106,Iris-versicolor
5,4.79980750767997,3.0,1.3812901501097115,0.3064991137925118,Iris-setosa
6,5.750322804909048,2.802902429840658,4.492065732687167,1.339958618001008,Iris-versicolor
7,5.814087079319756,2.702415888457382,5.118961142752497,1.9026612622048156,Iris-virginica
8,6.030977280258464,3.3962958635058187,4.501292565496716,1.5978696219872321,Iris-versicolor
9,5.065669992819651,2.504855187115289,2.9116591919028902,1.0645343553809854,Iris-versicolor
10,6.65100403022409,3.0669523413633413,4.682704990732729,1.4655833369638231,Iris-versicolor
11,5.5903293355203285,2.911369507283166,3.538989922311208,1.2767751068935482,Iris-versicolor
12,7.226343892421243,3.1822054102866257,6.0111234526550215,1.8044931310013248,Iris-virginica
13,6.683418379479245,3.0,5.000148399643645,1.7133067893385048,Iris-versicolor
14,4.400520372848099,2.9051147871486176,1.3884904532672753,0.20002003236743715,Iris-setosa
15,5.122587206309662,3.290083787107752,1.7251692586178384,0.369664254990486,Iris-setosa
16,5.014494837368204,2.0000004648893284,3.3045153465908754,1.016311526696348,Iris-versicolor
17,5.0526018402760675,3.0,1.7471379961288551,0.20168358721410426,Iris-setosa
18,6.070861167178732,2.9047870578120656,4.655446594227271,1.4395973980270964,Iris-versicolor
19,6.451260178735413,3.2203104178417794,5.1925570480853205,2.0732261436772257,Iris-virginica
20,7.651287941216578,3.0,6.3389056862482365,2.210358844090978,Iris-virginica
21,6.329613441357238,3.291255382894296,5.991662708157781,2.5,Iris-virginica
22,7.706418081198443,2.5923142827199026,6.8999987418978765,2.3104871975217693,Iris-virginica
23,7.22531233295482,3.187640683162075,6.024745041682798,1.8063799327607215,Iris-virginica
24,6.546307004995492,3.0,5.800796563005181,2.216792834377826,Iris-virginica
25,4.6048641390268745,3.111080516443104,1.5122611478171886,0.1998448986755025,Iris-setosa
26,5.104409349593813,3.5076309758871576,1.4038041439622848,0.2048283021284143,Iris-setosa
27,6.914164521512024,3.188945549247873,5.826858733060565,2.3019886152238933,Iris-virginica
28,7.899998865246928,3.8195934879335454,6.437299182570679,1.9920356469603528,Iris-virginica
29,5.894058518537365,3.2018852018218404,4.8218358068608165,1.8371452553858132,Iris-versicolor
30,5.006078367015678,2.000000585600022,3.4740543168838736,0.9314683927310997,Iris-versicolor
31,5.804832164031615,2.8088128544960136,4.469566366340746,1.2650284855182279,Iris-versicolor
32,6.714129516048471,2.502810602807498,5.7927329612352505,1.7987097844210689,Iris-virginica
33,7.236609809929473,3.1923198020502372,6.085685664667658,1.7906314741598006,Iris-virginica
34,6.222775698145016,3.4019129589468426,5.442402106998489,2.310563102424017,Iris-virginica
35,5.405333273587573,3.8910860603814417,1.304814697658315,0.3745547511603955,Iris-setosa
36,6.27175914291286,2.660881806885625,4.869092558967469,1.8015804394432196,Iris-virginica
37,6.68922437448023,3.0,4.971605014960991,1.7102293843834726,Iris-versicolor
38,6.073250949354881,3.3686732493859446,4.58046452002642,1.6068938720813586,Iris-versicolor
39,4.578898327371008,3.616880486682742,1.0,0.19778310065729582,Iris-setosa
40,5.186373878062818,3.4064807346655535,1.3770518840514674,0.19618206805027155,Iris-setosa
41,4.779941272626556,3.0,1.402881449202086,0.10000011954094354,Iris-setosa
42,6.051547626028649,2.908316222217325,4.629062424184561,1.433708945537312,Iris-versicolor
43,6.746166741750222,2.786178196314977,4.769675966852961,1.4149577988252073,Iris-versicolor
44,5.690837251920362,2.906412183064949,4.015977096972174,1.234714497405552,Iris-versicolor
45,5.691081645972124,3.789704575466694,1.829088784212766,0.30455843979449465,Iris-setosa
46,6.259954144420851,3.3977674251633125,5.463631907734601,2.3342218433939097,Iris-virginica
47,6.2125419843795315,2.182012046991154,4.4764660304377255,1.4995012455109855,Iris-versicolor
48,4.994474728825735,2.000000688943465,3.542663384234886,0.98746829841947,Iris-versicolor
49,4.8022617598036765,3.397397568202093,1.5922676315872097,0.20022831183105572,Iris-setosa
50,5.886531008689532,3.187932904815765,4.802684451785607,1.80270771139247,Iris-versicolor
51,4.995068110779849,3.0,1.5953405241829015,0.19796706523646274,Iris-setosa
52,5.712077344211553,2.8551106141494644,4.236564686759628,1.3047526713370854,Iris-versicolor
53,6.109592027308413,2.600045798811635,5.594310162573199,1.4242265516057073,Iris-virginica
54,5.770213130918885,2.7852908344010143,5.096037538450089,2.408547527534312,Iris-virginica
55,4.80291339050333,3.398374277212682,1.621808899486012,0.19989651229686237,Iris-setosa
56,6.795664018203456,3.204235490271058,5.830101416514416,2.297962126196679,Iris-virginica
57,5.678990416564996,3.0,4.166474900788381,1.2285544713238183,Iris-versicolor
58,5.8048575632905,2.7059460875053247,5.090572896426257,1.9314786442462994,Iris-virginica
