,synth,train,val,test,synth_value,real_value
0_0,0_0/synth.csv,0_0/train.csv,0_0/val.csv,0_0/test.csv,0.02745389107770413,0.13578751602812444
0_1,0_1/synth.csv,0_1/train.csv,0_1/val.csv,0_1/test.csv,0.04483923851077809,0.13625726343353617
0_2,0_2/synth.csv,0_2/train.csv,0_2/val.csv,0_2/test.csv,0.03777576703694496,0.12606157313939514
0_3,0_3/synth.csv,0_3/train.csv,0_3/val.csv,0_3/test.csv,0.03785829810108543,0.13673325406908154
0_4,0_4/synth.csv,0_4/train.csv,0_4/val.csv,0_4/test.csv,0.032746228848883785,0.13550744875264986
1_0,1_0/synth.csv,1_0/train.csv,1_0/val.csv,1_0/test.csv,0.0328713105108045,0.14042512754919756
1_1,1_1/synth.csv,1_1/train.csv,1_1/val.csv,1_1/test.csv,0.03995656948531712,0.14694228442357493
1_2,1_2/synth.csv,1_2/train.csv,1_2/val.csv,1_2/test.csv,0.03908407935525682,0.12509660136783274
1_3,1_3/synth.csv,1_3/train.csv,1_3/val.csv,1_3/test.csv,0.03404649964549211,0.14576781650057524
1_4,1_4/synth.csv,1_4/train.csv,1_4/val.csv,1_4/test.csv,0.030615868297544258,0.12746522341016053
