sepal_length,sepal_width,petal_length,petal_width,species
6.0,2.9,4.5,1.5,Iris-versicolor
5.8,2.7,5.1,1.9,Iris-virginica
4.8,3.4,1.6,0.2,Iris-setosa
5.0,3.5,1.6,0.6,Iris-setosa
6.0,2.9,4.5,1.5,Iris-versicolor
4.4,3.0,1.3,0.2,Iris-setosa
6.0,2.2,5.0,1.5,Iris-virginica
6.0,2.2,5.0,1.5,Iris-virginica
5.0,3.5,1.6,0.6,Iris-setosa
5.2,2.7,3.9,1.4,Iris-versicolor
6.0,2.9,4.5,1.5,Iris-versicolor
4.8,3.4,1.6,0.2,Iris-setosa
5.2,2.7,3.9,1.4,Iris-versicolor
5.5,4.2,1.4,0.2,Iris-setosa
4.8,3.4,1.6,0.2,Iris-setosa
5.2,3.4,1.4,0.2,Iris-setosa
4.8,3.4,1.6,0.2,Iris-setosa
5.8,2.7,5.1,1.9,Iris-virginica
4.4,3.0,1.3,0.2,Iris-setosa
5.0,3.5,1.6,0.6,Iris-setosa
5.5,4.2,1.4,0.2,Iris-setosa
5.0,3.5,1.6,0.6,Iris-setosa
5.9,3.0,4.2,1.5,Iris-versicolor
5.2,3.4,1.4,0.2,Iris-setosa
4.9,3.1,1.5,0.1,Iris-setosa
6.0,2.9,4.5,1.5,Iris-versicolor
5.5,4.2,1.4,0.2,Iris-setosa
4.8,3.4,1.6,0.2,Iris-setosa
5.0,3.5,1.6,0.6,Iris-setosa
4.6,3.4,1.4,0.3,Iris-setosa
4.4,3.0,1.3,0.2,Iris-setosa
5.2,3.4,1.4,0.2,Iris-setosa
5.5,4.2,1.4,0.2,Iris-setosa
5.2,3.4,1.4,0.2,Iris-setosa
5.8,2.7,5.1,1.9,Iris-virginica
5.2,3.4,1.4,0.2,Iris-setosa
5.5,4.2,1.4,0.2,Iris-setosa
5.9,3.0,4.2,1.5,Iris-versicolor
6.0,2.2,5.0,1.5,Iris-virginica
4.4,3.0,1.3,0.2,Iris-setosa
5.0,3.5,1.6,0.6,Iris-setosa
6.0,2.2,5.0,1.5,Iris-virginica
6.0,2.2,5.0,1.5,Iris-virginica
4.9,3.1,1.5,0.1,Iris-setosa
4.9,3.1,1.5,0.1,Iris-setosa
5.8,2.7,5.1,1.9,Iris-virginica
4.9,3.1,1.5,0.1,Iris-setosa
5.8,2.7,5.1,1.9,Iris-virginica
6.0,2.2,5.0,1.5,Iris-virginica
5.2,2.7,3.9,1.4,Iris-versicolor
5.8,2.7,5.1,1.9,Iris-virginica
6.0,2.2,5.0,1.5,Iris-virginica
4.4,3.0,1.3,0.2,Iris-setosa
6.0,2.9,4.5,1.5,Iris-versicolor
5.2,3.4,1.4,0.2,Iris-setosa
5.2,3.4,1.4,0.2,Iris-setosa
5.5,4.2,1.4,0.2,Iris-setosa
4.4,3.0,1.3,0.2,Iris-setosa
5.5,4.2,1.4,0.2,Iris-setosa
6.0,2.2,5.0,1.5,Iris-virginica
4.8,3.4,1.6,0.2,Iris-setosa
4.9,3.1,1.5,0.1,Iris-setosa
5.5,4.2,1.4,0.2,Iris-setosa
4.4,3.0,1.3,0.2,Iris-setosa
6.0,2.9,4.5,1.5,Iris-versicolor
5.9,3.0,4.2,1.5,Iris-versicolor
5.2,2.7,3.9,1.4,Iris-versicolor
5.9,3.0,4.2,1.5,Iris-versicolor
5.2,3.4,1.4,0.2,Iris-setosa
5.2,2.7,3.9,1.4,Iris-versicolor
6.0,2.9,4.5,1.5,Iris-versicolor
5.5,4.2,1.4,0.2,Iris-setosa
5.2,2.7,3.9,1.4,Iris-versicolor
5.2,3.4,1.4,0.2,Iris-setosa
4.9,3.1,1.5,0.1,Iris-setosa
5.0,3.5,1.6,0.6,Iris-setosa
5.2,2.7,3.9,1.4,Iris-versicolor
6.0,2.9,4.5,1.5,Iris-versicolor
5.2,3.4,1.4,0.2,Iris-setosa
4.9,3.1,1.5,0.1,Iris-setosa
4.6,3.4,1.4,0.3,Iris-setosa
5.2,2.7,3.9,1.4,Iris-versicolor
6.0,2.9,4.5,1.5,Iris-versicolor
6.0,2.2,5.0,1.5,Iris-virginica
4.6,3.4,1.4,0.3,Iris-setosa
6.0,2.2,5.0,1.5,Iris-virginica
5.8,2.7,5.1,1.9,Iris-virginica
5.2,3.4,1.4,0.2,Iris-setosa
5.0,3.5,1.6,0.6,Iris-setosa
6.0,2.9,4.5,1.5,Iris-versicolor
4.6,3.4,1.4,0.3,Iris-setosa
4.4,3.0,1.3,0.2,Iris-setosa
5.8,2.7,5.1,1.9,Iris-virginica
6.0,2.9,4.5,1.5,Iris-versicolor
4.9,3.1,1.5,0.1,Iris-setosa
4.8,3.4,1.6,0.2,Iris-setosa
4.9,3.1,1.5,0.1,Iris-setosa
5.0,3.5,1.6,0.6,Iris-setosa
4.9,3.1,1.5,0.1,Iris-setosa
5.8,2.7,5.1,1.9,Iris-virginica
5.9,3.0,4.2,1.5,Iris-versicolor
5.9,3.0,4.2,1.5,Iris-versicolor
5.0,3.5,1.6,0.6,Iris-setosa
4.6,3.4,1.4,0.3,Iris-setosa
5.9,3.0,4.2,1.5,Iris-versicolor
5.2,2.7,3.9,1.4,Iris-versicolor
4.9,3.1,1.5,0.1,Iris-setosa
5.5,4.2,1.4,0.2,Iris-setosa
5.0,3.5,1.6,0.6,Iris-setosa
6.0,2.2,5.0,1.5,Iris-virginica
4.8,3.4,1.6,0.2,Iris-setosa
4.8,3.4,1.6,0.2,Iris-setosa
6.0,2.9,4.5,1.5,Iris-versicolor
5.5,4.2,1.4,0.2,Iris-setosa
5.9,3.0,4.2,1.5,Iris-versicolor
5.5,4.2,1.4,0.2,Iris-setosa
4.8,3.4,1.6,0.2,Iris-setosa
6.0,2.9,4.5,1.5,Iris-versicolor
5.0,3.5,1.6,0.6,Iris-setosa
5.2,2.7,3.9,1.4,Iris-versicolor
