sepal_length,sepal_width,petal_length,petal_width,species
4.4,3.2,1.3,0.2,Iris-setosa
4.4,3.2,1.3,0.2,Iris-setosa
7.1,3.0,5.9,2.1,Iris-virginica
4.4,3.2,1.3,0.2,Iris-setosa
4.4,3.2,1.3,0.2,Iris-setosa
4.4,3.2,1.3,0.2,Iris-setosa
4.4,3.2,1.3,0.2,Iris-setosa
7.1,3.0,5.9,2.1,Iris-virginica
6.1,2.8,4.7,1.2,Iris-versicolor
4.4,3.2,1.3,0.2,Iris-setosa
4.4,3.2,1.3,0.2,Iris-setosa
6.1,2.8,4.7,1.2,Iris-versicolor
7.1,3.0,5.9,2.1,Iris-virginica
4.4,3.2,1.3,0.2,Iris-setosa
6.1,2.8,4.7,1.2,Iris-versicolor
6.1,2.8,4.7,1.2,Iris-versicolor
6.1,2.8,4.7,1.2,Iris-versicolor
7.1,3.0,5.9,2.1,Iris-virginica
6.1,2.8,4.7,1.2,Iris-versicolor
7.1,3.0,5.9,2.1,Iris-virginica
4.4,3.2,1.3,0.2,Iris-setosa
4.4,3.2,1.3,0.2,Iris-setosa
7.1,3.0,5.9,2.1,Iris-virginica
7.1,3.0,5.9,2.1,Iris-virginica
7.1,3.0,5.9,2.1,Iris-virginica
6.1,2.8,4.7,1.2,Iris-versicolor
7.1,3.0,5.9,2.1,Iris-virginica
7.1,3.0,5.9,2.1,Iris-virginica
4.4,3.2,1.3,0.2,Iris-setosa
7.1,3.0,5.9,2.1,Iris-virginica
4.4,3.2,1.3,0.2,Iris-setosa
6.1,2.8,4.7,1.2,Iris-versicolor
7.1,3.0,5.9,2.1,Iris-virginica
6.1,2.8,4.7,1.2,Iris-versicolor
6.1,2.8,4.7,1.2,Iris-versicolor
7.1,3.0,5.9,2.1,Iris-virginica
4.4,3.2,1.3,0.2,Iris-setosa
7.1,3.0,5.9,2.1,Iris-virginica
4.4,3.2,1.3,0.2,Iris-setosa
6.1,2.8,4.7,1.2,Iris-versicolor
6.1,2.8,4.7,1.2,Iris-versicolor
4.4,3.2,1.3,0.2,Iris-setosa
6.1,2.8,4.7,1.2,Iris-versicolor
4.4,3.2,1.3,0.2,Iris-setosa
4.4,3.2,1.3,0.2,Iris-setosa
4.4,3.2,1.3,0.2,Iris-setosa
4.4,3.2,1.3,0.2,Iris-setosa
6.1,2.8,4.7,1.2,Iris-versicolor
7.1,3.0,5.9,2.1,Iris-virginica
4.4,3.2,1.3,0.2,Iris-setosa
4.4,3.2,1.3,0.2,Iris-setosa
7.1,3.0,5.9,2.1,Iris-virginica
7.1,3.0,5.9,2.1,Iris-virginica
6.1,2.8,4.7,1.2,Iris-versicolor
4.4,3.2,1.3,0.2,Iris-setosa
4.4,3.2,1.3,0.2,Iris-setosa
4.4,3.2,1.3,0.2,Iris-setosa
7.1,3.0,5.9,2.1,Iris-virginica
4.4,3.2,1.3,0.2,Iris-setosa
7.1,3.0,5.9,2.1,Iris-virginica
6.1,2.8,4.7,1.2,Iris-versicolor
4.4,3.2,1.3,0.2,Iris-setosa
4.4,3.2,1.3,0.2,Iris-setosa
6.1,2.8,4.7,1.2,Iris-versicolor
6.1,2.8,4.7,1.2,Iris-versicolor
7.1,3.0,5.9,2.1,Iris-virginica
7.1,3.0,5.9,2.1,Iris-virginica
7.1,3.0,5.9,2.1,Iris-virginica
6.1,2.8,4.7,1.2,Iris-versicolor
6.1,2.8,4.7,1.2,Iris-versicolor
6.1,2.8,4.7,1.2,Iris-versicolor
4.4,3.2,1.3,0.2,Iris-setosa
7.1,3.0,5.9,2.1,Iris-virginica
4.4,3.2,1.3,0.2,Iris-setosa
6.1,2.8,4.7,1.2,Iris-versicolor
7.1,3.0,5.9,2.1,Iris-virginica
6.1,2.8,4.7,1.2,Iris-versicolor
7.1,3.0,5.9,2.1,Iris-virginica
4.4,3.2,1.3,0.2,Iris-setosa
4.4,3.2,1.3,0.2,Iris-setosa
4.4,3.2,1.3,0.2,Iris-setosa
6.1,2.8,4.7,1.2,Iris-versicolor
4.4,3.2,1.3,0.2,Iris-setosa
6.1,2.8,4.7,1.2,Iris-versicolor
7.1,3.0,5.9,2.1,Iris-virginica
4.4,3.2,1.3,0.2,Iris-setosa
4.4,3.2,1.3,0.2,Iris-setosa
4.4,3.2,1.3,0.2,Iris-setosa
6.1,2.8,4.7,1.2,Iris-versicolor
4.4,3.2,1.3,0.2,Iris-setosa
6.1,2.8,4.7,1.2,Iris-versicolor
4.4,3.2,1.3,0.2,Iris-setosa
4.4,3.2,1.3,0.2,Iris-setosa
4.4,3.2,1.3,0.2,Iris-setosa
7.1,3.0,5.9,2.1,Iris-virginica
7.1,3.0,5.9,2.1,Iris-virginica
7.1,3.0,5.9,2.1,Iris-virginica
7.1,3.0,5.9,2.1,Iris-virginica
7.1,3.0,5.9,2.1,Iris-virginica
4.4,3.2,1.3,0.2,Iris-setosa
6.1,2.8,4.7,1.2,Iris-versicolor
7.1,3.0,5.9,2.1,Iris-virginica
4.4,3.2,1.3,0.2,Iris-setosa
4.4,3.2,1.3,0.2,Iris-setosa
7.1,3.0,5.9,2.1,Iris-virginica
4.4,3.2,1.3,0.2,Iris-setosa
4.4,3.2,1.3,0.2,Iris-setosa
4.4,3.2,1.3,0.2,Iris-setosa
4.4,3.2,1.3,0.2,Iris-setosa
7.1,3.0,5.9,2.1,Iris-virginica
7.1,3.0,5.9,2.1,Iris-virginica
6.1,2.8,4.7,1.2,Iris-versicolor
4.4,3.2,1.3,0.2,Iris-setosa
4.4,3.2,1.3,0.2,Iris-setosa
6.1,2.8,4.7,1.2,Iris-versicolor
4.4,3.2,1.3,0.2,Iris-setosa
6.1,2.8,4.7,1.2,Iris-versicolor
4.4,3.2,1.3,0.2,Iris-setosa
6.1,2.8,4.7,1.2,Iris-versicolor
6.1,2.8,4.7,1.2,Iris-versicolor
